is_red_wine,alcohol,density,volatile acidity,chlorides,quality_label
0,10.0,0.99208,0.31,0.033,1
0,9.7,0.9956,0.47,0.044,1
0,12.4,0.98914,0.24,0.04,0
0,11.1,0.9912,0.28,0.052,1
0,11.2,0.9908,0.28,0.039,0
0,9.3,0.9927,0.245,0.049,1
0,11.0,0.9924,0.3,0.038,1
0,12.5,0.9921,0.26,0.047,0
0,9.9,0.9976,0.31,0.053,0
0,11.4,0.99046,0.15,0.037,0
1,10.9,0.9951,0.26,0.052,0
0,12.6,0.98949,0.21,0.035,0
0,8.6,1.0024,0.27,0.057,1
0,8.7,0.9982,0.3,0.039,1
0,8.7,0.99786,0.28,0.042,1
0,11.5,0.99168,0.2,0.032,1
0,9.3,0.9984,0.64,0.168,1
1,12.4,0.99408,0.28,0.093,0
0,11.2,0.99082,0.47,0.036,1
0,10.0,0.9934,0.905,0.048,1
0,8.9,0.9962,0.21,0.081,1
1,11.8,0.99702,0.41,0.071,0
0,10.8,0.992,0.18,0.027,0
0,10.5,0.9924,0.27,0.046,0
0,11.5,0.9933,0.3,0.03,0
0,8.9,0.9958,0.32,0.046,1
1,13.3,0.9952,0.41,0.055,0
0,11.2,0.9937,0.22,0.031,0
0,12.7,0.98964,0.33,0.047,0
0,11.9,0.98975,0.155,0.028,0
0,10.3,0.9937,0.335,0.046,1
0,10.1,0.99537,0.46,0.053,1
0,10.6,0.9951,0.22,0.037,0
0,10.3,0.9969,0.29,0.033,1
0,10.2,0.9951,0.22,0.055,0
0,9.3,0.9951,0.26,0.138,1
1,10.1,0.9981,0.3,0.067,0
0,9.6,0.9945,0.14,0.055,0
0,12.3,0.99226,0.33,0.04,1
0,10.5,0.9927,0.27,0.046,0
0,9.6,0.9944,0.17,0.034,0
0,9.3,0.9981,0.26,0.053,1
1,9.3,0.9963,0.6,0.072,1
0,9.9,0.99605,0.38,0.055,0
0,9.8,0.9935,0.28,0.042,1
0,12.7,0.99036,0.29,0.059,0
0,9.1,0.9975,0.25,0.06,1
1,10.7,0.9987,0.5,0.082,0
0,8.9,0.9978,0.32,0.036,0
0,9.5,0.9958,0.28,0.049,1
0,12.0,0.99006,0.19,0.037,0
0,11.5,0.9928,0.2,0.035,0
1,10.9,0.99476,1.58,0.137,1
0,10.7,0.9938,0.22,0.043,0
1,10.0,0.99735,0.59,0.089,1
0,9.3,0.9943,0.33,0.054,1
1,10.0,0.9956,0.78,0.093,1
0,11.1,0.99195,0.2,0.034,0
0,9.1,0.9959,0.22,0.053,0
0,9.2,0.9934,0.35,0.069,1
1,10.1,0.995,0.6,0.095,1
0,10.4,0.9962,0.45,0.044,1
0,11.1,0.99059,0.3,0.039,0
1,9.7,0.9981,0.59,0.084,1
0,10.8,0.9938,0.17,0.025,0
0,10.8,0.9942,0.24,0.083,0
0,10.2,0.99324,0.24,0.049,0
1,9.8,0.9942,0.62,0.07,1
1,10.9,0.99859,0.39,0.069,0
0,11.2,0.99044,0.13,0.033,0
1,9.9,0.9975,0.765,0.063,1
0,10.3,0.9961,0.27,0.059,1
0,12.0,0.992,0.125,0.042,0
1,11.3,0.99519,0.57,0.12,0
0,12.0,0.98999,0.17,0.029,0
0,8.8,0.99837,0.2,0.047,0
1,9.0,0.99685,1.0,0.065,0
1,10.3,0.9974,0.43,0.08,1
0,11.7,0.99155,0.24,0.038,0
1,10.1,0.99556,0.36,0.086,0
0,10.1,0.9927,0.13,0.046,0
0,9.9,0.9953,0.36,0.04,0
1,12.4,0.99344,0.22,0.039,0
1,11.1,0.99676,0.36,0.087,0
0,12.5,0.99128,0.21,0.04,0
0,10.5,0.992,0.2,0.05,0
0,10.1,0.99773,0.26,0.059,1
0,9.5,0.9956,0.21,0.056,1
0,10.4,0.99544,0.28,0.052,0
0,12.2,0.9952,0.25,0.032,0
0,9.0,0.9978,0.22,0.063,0
1,10.1,0.9966,0.31,0.059,0
0,12.7,0.991,0.39,0.043,0
0,12.0,0.99184,0.32,0.044,0
0,11.0,0.9952,0.24,0.039,0
0,11.2,0.9906,0.34,0.031,0
0,9.3,0.99658,0.19,0.045,0
0,10.4,0.9919,0.18,0.048,1
0,12.2,0.99324,0.21,0.037,0
0,12.2,0.9905,0.24,0.035,0
0,11.0,0.99269,0.32,0.036,0
1,9.7,0.99683,0.58,0.08,1
1,9.7,0.9993,0.65,0.094,1
0,9.7,0.9966,0.28,0.058,0
0,10.0,0.9956,0.35,0.044,0
0,9.4,0.998365,0.2,0.045,0
0,11.4,0.9908,0.22,0.144,0
0,8.8,1.0008,0.2,0.053,0
1,9.6,0.9971,0.42,0.07,1
0,12.2,0.99168,0.32,0.036,0
1,10.6,0.9996,0.32,0.093,1
0,9.9,0.99512,0.14,0.056,0
0,11.4,0.99034,0.34,0.042,0
0,9.1,0.9986,0.19,0.053,0
0,9.2,0.99304,0.23,0.149,0
0,12.5,0.99028,0.33,0.036,0
0,10.2,0.9972,0.3,0.055,0
0,10.8,0.992,0.21,0.039,0
0,11.4,0.9927,0.23,0.04,0
1,10.4,0.99628,0.33,0.081,0
1,13.0,0.99286,0.6,0.056,1
0,10.6,0.994,0.26,0.02,1
1,10.2,0.9997,0.69,0.124,1
1,13.6,0.99157,0.42,0.044,0
0,11.4,0.9925,0.2,0.041,0
0,10.2,0.9964,0.2,0.036,0
1,9.4,0.9993,0.605,0.073,0
1,12.1,0.99736,0.42,0.085,0
0,10.5,0.9942,0.24,0.053,0
0,11.0,0.99186,0.2,0.016,0
0,12.8,0.99008,0.25,0.034,0
0,9.1,0.99482,0.375,0.054,1
0,9.3,0.9961,0.18,0.064,1
0,10.8,0.99318,0.28,0.043,0
0,9.9,0.994,0.22,0.05,1
1,11.1,0.9966,0.34,0.09,1
0,9.6,0.9958,0.19,0.067,0
0,11.2,0.99114,0.21,0.039,0
1,9.2,0.99892,0.77,0.098,1
0,10.4,0.9986,0.54,0.055,0
0,10.2,0.9942,0.17,0.04,0
0,9.3,0.9972,0.25,0.051,1
0,13.2,0.98964,0.19,0.027,0
0,12.1,0.98999,0.22,0.04,0
0,10.0,0.9963,0.17,0.051,0
0,9.3,0.99601,0.26,0.037,1
0,9.5,0.9966,0.29,0.046,1
0,9.2,0.99324,0.21,0.167,1
0,11.2,0.9917,0.16,0.055,0
1,10.4,0.99724,0.42,0.054,0
1,12.5,0.99462,0.4,0.071,0
0,10.7,0.992,0.28,0.044,0
0,12.1,0.99367,0.32,0.03,0
0,11.4,0.9917,0.21,0.048,0
1,9.6,0.998,0.51,0.091,0
0,11.4,0.99068,0.31,0.036,0
1,9.3,0.99625,0.57,0.069,1
0,9.5,0.99466,0.2,0.075,1
0,9.8,0.9972,0.23,0.051,1
1,11.9,1.001,0.6,0.1,0
1,9.0,1.0,0.575,0.076,1
1,11.3,0.996,0.18,0.049,1
0,11.4,0.99134,0.16,0.065,0
0,12.2,0.9918,0.39,0.035,0
0,9.3,0.9932,0.595,0.042,1
0,12.7,0.9898,0.23,0.032,0
0,12.3,0.991,0.14,0.028,0
0,12.9,0.9908,0.2,0.03,0
0,9.0,0.9929,0.28,0.042,1
0,12.2,0.99235,0.32,0.031,0
0,10.5,0.9943,0.18,0.039,1
0,9.7,0.9938,0.17,0.048,0
0,11.3,0.99107,0.19,0.038,0
1,10.3,0.9969,0.645,0.086,1
0,9.4,0.9942,0.26,0.201,0
0,8.7,0.9997,0.21,0.042,0
1,9.2,0.9958,0.4,0.066,1
1,10.1,0.99531,0.63,0.059,0
0,9.2,0.99528,0.28,0.048,1
0,12.4,0.9906,0.28,0.042,0
0,11.3,0.99139,0.23,0.038,0
0,10.1,0.9939,0.2,0.038,0
0,11.3,0.99304,0.35,0.042,1
0,10.0,0.9951,0.27,0.052,0
0,13.5,0.9896,0.44,0.041,0
0,9.3,0.99922,0.28,0.074,0
1,10.4,0.9995,0.37,0.083,0
0,12.5,0.9918,0.48,0.024,0
0,11.0,0.9908,0.25,0.039,0
1,11.7,0.99523,0.3,0.068,0
1,11.4,0.99425,0.46,0.073,1
1,10.5,0.99647,0.47,0.114,1
0,11.1,0.9918,0.26,0.037,0
0,9.0,0.9951,0.34,0.06,0
0,10.2,0.99578,0.17,0.119,0
0,10.5,0.9933,0.21,0.038,0
0,9.1,0.9984,0.28,0.049,0
0,12.6,0.9918,0.22,0.035,0
1,9.5,1.0001,0.5,0.073,1
0,11.5,0.9942,0.25,0.034,1
0,12.8,0.989,0.225,0.03,0
1,9.5,0.99736,0.64,0.168,1
0,10.1,0.99126,0.18,0.04,1
0,9.1,0.9955,0.28,0.056,0
1,9.0,0.9978,0.34,0.08,0
0,8.9,0.9962,0.26,0.047,0
0,12.2,0.99031,0.33,0.03,0
0,9.7,0.997,0.37,0.042,0
0,9.6,0.9998,0.22,0.056,0
0,11.2,0.9932,0.16,0.048,0
0,11.4,0.9918,0.26,0.04,0
1,9.5,0.9962,0.41,0.08,1
1,12.1,0.99306,0.6,0.048,1
1,12.0,0.99566,0.4,0.05,1
0,12.7,0.9904,0.4,0.033,0
0,9.8,0.9984,0.22,0.055,1
0,11.0,0.99185,0.3,0.044,0
1,9.2,0.9977,0.725,0.073,1
0,11.2,0.99112,0.21,0.039,0
1,9.5,0.996,0.5,0.082,1
0,9.3,0.99583,0.26,0.046,1
1,10.0,0.9994,0.705,0.092,1
0,9.4,0.9937,0.23,0.172,0
0,10.3,0.9932,0.16,0.043,0
1,10.2,0.9966,0.6,0.083,0
0,11.2,0.9965,0.42,0.056,0
0,12.8,0.9895,0.29,0.037,0
1,9.2,0.998,0.4,0.079,1
1,10.9,0.99666,0.25,0.054,0
1,9.9,0.99682,0.52,0.084,0
0,11.0,0.99294,0.21,0.036,0
0,10.5,0.9944,0.22,0.034,0
0,9.6,0.9948,0.32,0.048,1
0,8.7,1.00044,0.23,0.085,1
1,9.7,0.99701,0.67,0.08,1
1,10.1,0.9996,0.56,0.102,1
0,9.1,0.9988,0.39,0.043,1
1,10.0,1.0022,0.615,0.083,0
0,9.8,0.9928,0.26,0.048,1
0,10.8,0.9938,0.2,0.038,0
0,9.0,0.9949,0.58,0.057,1
0,10.5,0.9926,0.27,0.051,0
1,9.7,0.99708,0.37,0.082,0
0,9.0,0.9955,0.13,0.04,1
0,12.0,0.99076,0.16,0.032,0
0,10.4,0.99587,0.2,0.053,0
1,9.5,0.9958,0.51,0.074,0
0,9.1,0.99692,0.28,0.035,1
0,10.5,0.99382,0.19,0.051,0
1,9.5,0.9981,0.46,0.061,1
0,9.0,1.0008,0.32,0.054,1
0,10.4,0.9938,0.23,0.052,0
0,10.6,0.9938,0.18,0.036,0
0,11.0,0.99111,0.16,0.036,1
0,12.6,0.99165,0.32,0.027,0
0,11.0,0.9947,0.2,0.052,0
0,11.6,0.9911,0.24,0.037,0
0,9.9,0.99425,0.33,0.042,1
0,10.5,0.9938,0.44,0.047,1
0,12.4,0.99171,0.32,0.055,0
0,9.2,0.99373,0.18,0.053,0
0,12.0,0.99253,0.35,0.032,1
1,11.7,0.99538,0.735,0.071,0
0,12.5,0.9907,0.23,0.03,0
1,9.7,0.9979,0.63,0.09,0
0,11.7,0.9912,0.32,0.037,0
0,10.0,0.99362,0.41,0.048,1
0,9.4,0.99803,0.38,0.08,1
0,9.5,0.9936,0.34,0.049,1
0,9.7,0.9996,0.25,0.036,1
0,13.4,0.98981,0.34,0.02,0
1,11.0,0.99633,0.58,0.085,0
0,12.1,0.99144,0.28,0.034,0
0,9.4,0.9956,0.45,0.08,1
0,11.5,0.9927,0.22,0.044,0
0,12.0,0.99214,0.21,0.032,0
0,11.2,0.99212,0.26,0.03,0
0,9.4,0.9953,0.3,0.123,1
0,10.4,0.99524,0.25,0.043,0
0,9.2,0.99666,0.2,0.045,1
1,9.6,0.9966,0.49,0.062,1
0,10.2,0.9942,0.3,0.045,1
0,13.0,0.9887,0.3,0.03,0
0,9.4,0.9954,0.21,0.057,1
0,9.1,0.9936,0.21,0.051,1
0,9.9,0.9968,0.18,0.055,0
0,9.5,0.999,0.28,0.045,0
1,10.2,0.9993,0.27,0.079,0
0,9.0,0.99971,0.17,0.05,0
0,10.0,0.9955,0.34,0.047,0
0,13.4,0.98949,0.5,0.036,0
0,9.4,0.9983,0.31,0.042,1
0,9.8,0.9963,0.23,0.053,0
0,10.5,0.9927,0.18,0.035,0
0,9.0,0.99772,0.42,0.044,1
0,12.3,0.99234,0.24,0.031,0
0,11.4,0.9939,0.2,0.032,1
0,11.2,0.9932,0.19,0.041,0
0,10.1,0.9948,0.69,0.044,0
0,12.4,0.9928,0.17,0.05,0
0,13.4,0.98934,0.37,0.032,0
0,10.8,0.9944,0.36,0.042,1
1,9.8,0.99458,0.57,0.069,0
0,10.2,0.9931,0.2,0.044,1
0,11.9,0.99057,0.48,0.037,0
0,10.6,0.9934,0.17,0.034,0
0,12.3,0.99076,0.2,0.033,0
0,11.4,0.99182,0.24,0.028,1
0,9.9,0.9983,0.22,0.053,0
1,9.6,0.99668,0.72,0.076,1
0,13.1,0.98966,0.39,0.033,0
0,12.1,0.98871,0.3,0.034,0
0,9.1,0.9969,0.25,0.041,0
0,10.4,0.99432,0.265,0.052,0
0,8.9,0.9974,0.3,0.045,0
1,12.4,0.99439,0.25,0.063,0
1,9.5,0.9992,0.59,0.071,1
0,10.0,0.9948,0.15,0.043,1
0,11.2666666666667,0.9916,0.44,0.032,0
1,9.6,0.9974,0.26,0.076,0
0,11.4,0.9914,0.16,0.033,1
0,10.2,0.99137,0.15,0.037,0
0,8.7,0.9931,0.67,0.06,1
0,11.2,0.99175,0.13,0.045,0
0,9.1,0.9975,0.44,0.051,1
1,9.3,0.9998,0.53,0.063,0
0,11.4,0.992,0.43,0.048,1
0,10.3,0.9931,0.26,0.045,1
0,9.3,0.99727,0.615,0.067,1
0,11.3,0.9915,0.27,0.052,1
0,9.0,0.99449,0.39,0.157,0
0,10.1,0.99655,0.13,0.05,0
0,10.3,0.9938,0.21,0.056,0
0,12.1,0.99274,0.36,0.028,0
0,12.0,0.9907,0.62,0.039,0
1,11.9,0.99458,0.2,0.054,0
0,11.0,0.99176,0.24,0.043,0
0,10.8,0.9938,0.445,0.04,1
1,12.5,0.99358,0.52,0.07,0
1,9.7,0.9959,0.55,0.075,0
0,11.4,0.99053,0.29,0.035,0
0,10.6,0.9927,0.25,0.031,0
0,8.9,0.9962,0.28,0.052,0
1,10.4,0.9969,0.45,0.075,1
1,9.5,0.9987,0.43,0.08,0
1,10.5,0.9973,0.43,0.071,1
1,10.7,1.0006,0.57,0.082,0
0,9.0,0.9979,0.23,0.058,0
1,11.5,0.99541,0.61,0.095,0
1,9.3,0.9951,0.62,0.062,1
0,9.5,0.997,0.23,0.044,0
1,10.4,0.99836,0.8,0.083,0
0,12.3,0.9896,0.26,0.032,0
0,11.3,0.99159,0.18,0.032,0
0,10.0,0.9922,0.16,0.04,0
0,11.8,0.99041,0.26,0.019,0
0,11.7,0.9917,0.19,0.062,0
0,10.6,0.993,0.22,0.052,0
0,10.4,0.99429,0.23,0.043,0
0,11.2,0.9923,0.46,0.052,1
0,12.0,0.9906,0.35,0.034,0
0,10.6,0.99704,0.22,0.045,0
0,9.5,0.9958,0.24,0.045,1
0,9.4,0.99882,0.33,0.037,0
1,9.5,0.9968,0.52,0.085,0
1,9.1,0.997,0.5,0.086,1
1,9.8,0.99748,0.61,0.074,1
0,9.0,0.99839,0.24,0.053,1
1,11.0,0.99395,0.715,0.161,1
0,9.1,0.9936,0.2,0.048,0
0,9.5,0.99582,0.29,0.046,1
0,10.2,0.993,0.14,0.042,0
0,9.8,0.9931,0.27,0.05,0
0,10.2,0.99207,0.18,0.041,0
1,10.8,0.997,0.62,0.086,1
0,9.5,0.9988,0.34,0.055,0
0,13.4,0.9886,0.33,0.047,0
1,10.7,0.99542,0.33,0.042,1
0,12.5,0.98961,0.19,0.019,0
0,10.6,0.99332,0.21,0.04,0
1,12.5,0.99292,0.49,0.068,0
0,10.6,0.99154,0.295,0.035,0
1,9.5,1.0,0.67,0.084,0
0,12.6,0.99084,0.3,0.043,0
0,12.5,0.9888,0.28,0.037,0
0,8.9,0.9982,0.27,0.046,1
0,9.5,0.99474,0.33,0.094,1
0,11.2,0.99026,0.19,0.04,1
0,9.8,0.99659,0.3,0.041,1
0,13.0,0.99056,0.47,0.034,0
0,9.9,0.9921,0.27,0.044,0
0,10.7,0.99672,0.22,0.04,1
0,10.8,0.99179,0.31,0.042,0
0,10.5,0.99184,0.21,0.046,1
0,9.7,0.993,0.15,0.039,0
0,10.2,0.99342,0.16,0.036,0
0,12.7,0.9906,0.3,0.066,0
0,9.3,1.0004,0.16,0.05,0
0,10.3,0.996,0.18,0.049,1
0,9.4,0.99985,0.27,0.039,1
0,10.6,0.9927,0.18,0.041,0
0,9.5,0.9925,0.23,0.061,1
0,10.4,0.99304,0.295,0.039,0
0,12.5,0.98952,0.28,0.026,0
1,10.0,0.9946,0.65,0.065,0
1,9.8,0.99746,0.59,0.077,1
0,9.5,0.9977,0.34,0.047,1
0,8.9,0.99862,0.22,0.044,0
0,11.05,0.99043,0.19,0.046,0
0,10.6,0.9951,0.29,0.032,0
0,9.5,0.99422,0.17,0.05,0
0,10.9,0.9955,0.4,0.059,0
0,9.73333333333333,0.99362,0.22,0.066,1
1,10.9,0.99514,0.6,0.079,0
0,9.6,0.9952,0.31,0.054,1
0,10.7,0.992,0.23,0.027,0
0,11.8,0.99206,0.22,0.029,0
0,11.3,0.99121,0.23,0.034,0
0,11.0,0.99202,0.26,0.046,0
0,9.2,0.99815,0.34,0.04,0
0,12.9,0.99,0.19,0.04,0
0,9.4,0.99556,0.34,0.045,1
0,9.5,0.9956,0.18,0.04,0
1,9.8,0.99616,0.6,0.083,0
0,9.7,0.9952,0.16,0.059,1
0,12.4,0.99315,0.26,0.038,0
0,11.1,0.992,0.27,0.037,0
0,10.4,0.99168,0.21,0.047,1
1,9.5,0.9959,0.775,0.092,1
0,9.8,0.99304,0.39,0.048,1
1,9.4,0.9955,0.5,0.068,0
1,9.6,0.9972,0.57,0.076,0
1,10.5,0.99603,0.29,0.067,1
0,9.9,0.99632,0.24,0.043,0
0,10.8,0.9909,0.315,0.033,0
0,11.4,0.99105,0.14,0.04,0
1,9.4,0.9966,0.62,0.082,1
1,12.1,0.99323,0.53,0.064,0
0,9.0,0.9984,0.67,0.29,1
1,11.6,0.9963,0.44,0.077,0
0,11.3,0.99035,0.2,0.031,0
0,9.4,0.99691,0.27,0.053,1
0,9.4,0.9942,0.17,0.049,0
0,11.7,0.99062,0.31,0.03,0
0,9.7,0.9934,0.24,0.047,0
0,9.7,0.99737,0.13,0.064,0
1,9.0,0.99675,0.63,0.097,0
1,10.9,0.99572,0.31,0.06,0
1,10.2,0.99665,0.7,0.106,1
0,11.0,0.99268,0.21,0.041,0
0,9.1,0.9948,0.34,0.057,0
0,10.2,0.9933,0.23,0.047,0
0,10.5,0.99444,0.2,0.037,0
0,11.0,0.9925,0.25,0.046,0
1,13.5,0.9915,0.29,0.063,0
0,10.8,0.9918,0.13,0.05,0
0,9.6,0.9939,0.17,0.037,1
1,13.3,0.9988,0.625,0.088,0
0,10.4,0.9934,0.18,0.049,0
0,8.7,0.9981,0.34,0.047,1
0,9.6,0.9929,0.36,0.048,1
0,8.6,0.9976,0.4,0.041,1
0,11.2,0.9926,0.27,0.036,0
0,9.1,0.99642,0.31,0.057,1
0,11.3,0.99165,0.18,0.039,0
0,9.5,0.99704,0.15,0.049,0
0,10.0,0.9954,0.22,0.043,1
0,12.6,0.991,0.37,0.035,0
0,8.8,0.99941,0.2,0.054,0
0,10.9,0.9913,0.21,0.046,0
0,9.7,0.9947,0.23,0.035,1
1,10.2,0.9968,0.58,0.074,1
0,11.2,0.99132,0.15,0.033,0
0,11.0,0.99308,0.29,0.026,0
0,9.5,0.9928,0.1,0.047,1
0,10.1,0.99266,0.3,0.052,1
0,10.9,0.993,0.27,0.032,1
0,10.1,0.99204,0.27,0.076,0
0,9.6,0.9975,0.31,0.046,1
0,10.2,0.99196,0.19,0.035,1
0,11.1,0.99104,0.18,0.032,1
0,9.4,0.99577,0.28,0.042,1
1,9.4,0.9978,0.7,0.076,1
0,12.3,0.9894,0.42,0.017,0
1,11.2,0.99512,0.55,0.062,0
0,9.2,0.9931,0.21,0.154,0
0,9.5,0.9951,0.23,0.05,1
0,11.2,0.9911,0.3,0.032,0
1,11.1,0.9952,0.23,0.063,1
0,9.1,0.99833,0.435,0.058,0
0,9.0,0.99855,0.22,0.044,0
0,9.9,0.992,0.35,0.045,0
0,10.0,0.9964,0.19,0.054,0
0,10.1,0.9942,0.19,0.034,1
1,11.1,0.99613,0.37,0.088,0
0,11.7,0.9913,0.24,0.029,1
0,9.1,1.00118,0.36,0.07,1
0,12.5,0.9906,0.31,0.04,1
0,10.5,0.99273,0.3,0.052,0
0,9.2,0.99322,0.2,0.058,0
0,9.2,0.9933,0.3,0.034,1
0,11.4,0.99076,0.23,0.037,0
0,10.5,0.9931,0.17,0.042,0
0,9.4,0.99373,0.34,0.042,1
0,11.1,0.992,0.27,0.037,0
0,9.4,0.99543,0.3,0.054,0
0,10.0,0.99261,0.22,0.045,0
1,10.2,0.9964,0.915,0.143,0
1,10.5,0.99725,0.54,0.088,0
1,9.9,0.9958,0.43,0.069,0
0,11.4,0.99033,0.2,0.043,0
0,10.4,0.99202,0.17,0.036,0
0,13.0,0.9889,0.33,0.032,0
0,10.5,0.9947,0.17,0.048,1
1,10.5,0.99562,0.49,0.068,1
0,9.4,0.9956,0.26,0.17,0
0,9.7,0.9946,0.34,0.035,1
0,9.3,0.99413,0.18,0.046,1
0,9.7,0.994,0.485,0.065,1
0,13.2,0.99062,0.44,0.035,0
0,9.2,0.9956,0.44,0.036,1
0,9.8,0.99588,0.46,0.051,0
1,12.7,0.99007,0.18,0.049,0
0,11.2,0.991,0.23,0.036,0
0,9.2,0.99858,0.3,0.06,1
0,13.4,0.9884,0.22,0.16,0
0,9.0,1.0004,0.28,0.059,1
0,9.7,0.9966,0.23,0.049,0
0,9.1,0.9957,0.21,0.045,1
1,10.6,0.9959,0.25,0.062,0
0,11.7,0.9918,0.28,0.036,1
0,10.8,0.9939,0.21,0.046,0
0,9.1,0.9972,0.28,0.044,0
1,11.2,0.99501,0.28,0.081,1
0,11.1,0.99244,0.31,0.032,1
0,12.2,0.99184,0.33,0.041,0
1,9.9,0.99584,0.59,0.08,1
0,9.3,0.9962,0.11,0.043,0
1,9.1,0.9967,0.725,0.072,1
0,9.6,0.9979,0.27,0.05,0
1,9.2,0.9988,0.34,0.082,0
0,9.2,0.9924,0.29,0.038,1
0,9.2,0.9985,0.2,0.05,0
0,10.6,0.99445,0.28,0.036,0
0,11.3,0.99093,0.34,0.046,1
0,10.1,0.9947,0.3,0.056,0
1,9.3,0.9968,0.49,0.236,1
1,9.3,0.9975,0.37,0.097,1
0,10.0,0.99624,0.38,0.041,0
0,9.8,0.9987,0.23,0.049,1
0,11.0,0.9922,0.15,0.034,0
0,9.5,1.0004,0.31,0.046,1
0,10.4,0.9974,0.27,0.043,0
0,10.3,0.9949,0.2,0.038,0
1,9.6,0.99738,0.655,0.096,1
0,10.4,0.9971,0.21,0.046,0
0,10.5,0.9948,0.39,0.054,0
0,12.0,0.9928,0.34,0.088,0
0,10.4666666666667,0.99212,0.335,0.036,1
1,9.5,0.998,0.37,0.082,1
0,12.8,0.9911,0.42,0.03,0
1,10.9,0.99708,0.5,0.119,0
0,10.5,0.99284,0.16,0.045,0
1,10.4,0.99672,0.2,0.076,0
0,10.1,0.99338,0.25,0.043,0
0,9.8,0.99441,0.35,0.034,1
0,10.0,0.992,0.28,0.043,1
0,8.4,0.99429,0.31,0.052,1
0,9.9,0.9968,0.4,0.056,1
1,10.2,0.99631,0.705,0.081,1
0,11.4,0.99082,0.425,0.034,0
0,13.05,0.98823,0.22,0.024,0
1,9.5,0.99888,0.68,0.093,0
0,10.4,0.9926,0.31,0.051,0
0,11.3,0.9919,0.26,0.027,0
0,9.4,0.9944,0.35,0.069,1
0,8.9,0.99888,0.35,0.054,0
0,9.5,0.994,0.21,0.05,1
0,10.5,0.9966,0.26,0.062,1
0,10.5,0.99212,0.39,0.194,0
0,11.6,0.99152,0.17,0.047,0
0,11.9,0.98994,0.315,0.026,0
1,10.6,0.99814,0.27,0.074,0
0,8.9,0.99628,0.17,0.038,0
0,11.5,0.9917,0.36,0.035,0
0,12.0,0.98931,0.2,0.019,0
0,11.4,0.991,0.2,0.048,0
1,9.5,0.9961,0.69,0.084,1
0,10.1,0.99586,0.24,0.042,0
0,10.1,0.9944,0.26,0.037,1
0,10.1,0.9974,0.28,0.048,0
0,10.2,0.99546,0.31,0.045,1
1,9.3,0.99592,0.56,0.078,1
1,9.6,0.99713,0.785,0.094,0
0,9.2,0.99822,0.33,0.045,1
0,10.7,0.99158,0.3,0.039,1
0,9.4,0.9966,0.31,0.04,1
0,9.0,1.0005,0.24,0.057,1
0,10.4,0.99464,0.255,0.056,0
0,9.3,0.99528,0.36,0.185,1
0,9.9,0.9954,0.19,0.056,0
1,10.8,0.99518,0.57,0.081,1
1,13.4,0.9988,0.62,0.086,0
0,10.15,0.99218,0.185,0.03,0
0,10.4,0.9922,0.29,0.04,0
0,11.9,0.9914,0.24,0.03,0
0,10.0,0.9931,0.18,0.058,0
0,11.9,0.992,0.33,0.038,0
0,10.5,0.9962,0.19,0.06,0
1,11.6,0.99526,0.39,0.086,0
0,10.6,0.9936,0.27,0.031,1
1,11.3,0.99444,0.44,0.063,0
0,8.9,0.9956,0.25,0.052,1
1,9.5,0.9978,0.39,0.107,1
0,9.0,0.9929,0.27,0.041,1
0,11.6,0.9921,0.37,0.034,0
0,12.5,0.99138,0.34,0.076,0
0,9.8,0.99441,0.34,0.041,1
0,10.2,0.9945,0.08,0.05,0
1,9.4,0.9986,0.36,0.152,1
0,9.9,0.99287,0.33,0.041,1
0,9.5,0.9972,0.24,0.053,0
0,11.0,0.99178,0.22,0.039,0
0,8.0,0.99688,0.215,0.041,1
0,12.6,0.98959,0.29,0.035,0
0,11.3,0.9923,0.18,0.038,0
0,10.4,0.99596,0.2,0.05,0
1,11.3,0.99562,0.58,0.064,0
1,9.5,0.9982,0.44,0.083,1
1,9.6,0.9959,0.95,0.09,1
0,9.3,0.9937,0.67,0.074,1
0,10.1,0.99206,0.31,0.039,1
0,10.9,0.9951,0.34,0.048,1
0,9.0,0.9958,0.31,0.046,1
1,10.4,0.99589,0.54,0.085,0
0,10.5,0.99184,0.19,0.026,0
0,8.8,0.99807,0.19,0.057,0
0,11.0,0.9931,0.26,0.04,0
0,13.1,0.98886,0.17,0.04,0
1,9.5,0.9964,0.35,0.073,1
0,13.3,0.98802,0.32,0.025,0
0,9.3,0.99715,0.29,0.056,0
1,13.6,0.9902,0.4,0.046,0
0,12.2,0.9893,0.29,0.031,0
0,10.1,0.9966,0.16,0.054,1
1,10.0,0.9965,0.64,0.077,0
0,10.8,0.9925,0.23,0.036,0
0,10.4,0.9928,0.3,0.046,0
0,12.9,0.98956,0.3,0.048,0
0,13.9,0.98711,0.24,0.038,0
0,9.7,0.9955,0.31,0.046,1
0,9.7,0.9978,0.28,0.053,0
0,10.7,0.9952,0.49,0.043,1
1,9.2,0.9983,0.46,0.092,1
0,9.0,0.99666,0.16,0.035,0
1,11.9,0.9946,0.25,0.067,0
0,9.2,0.9937,0.34,0.044,1
0,9.75,0.99391,0.24,0.069,1
0,11.3,0.991,0.36,0.027,0
0,11.3,0.9908,0.29,0.035,1
0,9.2,0.99344,0.38,0.06,1
0,9.1,0.993,0.53,0.029,1
1,9.5,0.9958,0.5,0.085,1
0,12.6,0.9893,0.29,0.024,0
0,12.0,0.9928,0.32,0.042,0
0,8.9,0.9977,0.36,0.043,1
